frame,player_id,team,x,y,speed_kmh,distance_m,total_distance_m
37,13,Team_2,818,412,2.15,0.02,0.93
37,14,Umpire,1163,277,12.93,0.12,2.63
37,16,Umpire,1225,243,13.11,0.12,2.66
37,19,Team_1,351,371,4.31,0.04,0.9
37,7,Team_2,331,374,10.99,0.1,1.61
38,1,Team_2,1070,362,11.6,0.11,2.36
38,2,Team_1,650,364,4.31,0.04,0.33
38,3,Team_1,1041,355,10.99,0.1,2.29
38,5,Team_1,944,571,7.77,0.07,1.9
38,6,Team_2,1003,555,10.77,0.1,2.08
38,8,Team_2,789,387,3.05,0.03,0.83
38,9,Team_1,618,419,4.82,0.04,0.53
38,10,Team_1,378,290,8.88,0.08,1.42
38,11,Team_2,435,288,6.46,0.06,1.13
38,12,Umpire,716,398,0.0,0.0,0.45
38,13,Team_2,818,413,2.15,0.02,0.95
38,14,Umpire,1168,277,10.77,0.1,2.73
38,16,Umpire,1230,244,10.99,0.1,2.76
38,19,Team_1,346,371,10.77,0.1,1.0
38,7,Team_2,327,374,8.62,0.08,1.69
39,1,Team_2,1072,362,4.31,0.04,2.4
39,2,Team_1,650,365,2.15,0.02,0.35
39,3,Team_1,1042,355,2.15,0.02,2.31
